Date,Hsi_Close,Date,Dji_Close
8/4/2006,16887.8,8/2/2006,11199.92
8/7/2006,16953.55,8/3/2006,11242.59
8/8/2006,17048.2,8/4/2006,11240.35
8/9/2006,17346.58,8/7/2006,11219.38
8/10/2006,17222.14,8/8/2006,11173.59
8/11/2006,17249.95,8/9/2006,11076.18
8/14/2006,17290.01,8/10/2006,11124.37
8/15/2006,17274.07,8/11/2006,11088.02
8/16/2006,17451.03,8/14/2006,11097.87
8/17/2006,17373.05,8/15/2006,11230.26
8/18/2006,17330.7,8/16/2006,11327.12
8/21/2006,17007.88,8/17/2006,11334.96
8/22/2006,17149.75,8/18/2006,11381.47
8/23/2006,17088.39,8/21/2006,11345.04
8/24/2006,16883.04,8/22/2006,11339.84
8/25/2006,16955.45,8/23/2006,11297.9
8/28/2006,16922.29,8/24/2006,11304.46
8/29/2006,17083.28,8/25/2006,11284.05
8/30/2006,17284.71,8/28/2006,11352.01
8/31/2006,17392.27,8/29/2006,11369.94
9/1/2006,17423.72,8/30/2006,11382.91
9/4/2006,17513.88,8/31/2006,11381.15
9/5/2006,17438.8,9/1/2006,11464.15
9/6/2006,17258.51,9/5/2006,11469.28
9/7/2006,17096.44,9/6/2006,11406.2
9/8/2006,17145.76,9/7/2006,11331.44
9/11/2006,16948.59,9/8/2006,11392.11
9/12/2006,17075.4,9/11/2006,11396.84
9/13/2006,17210.04,9/12/2006,11498.09
9/14/2006,17183.45,9/13/2006,11543.32
9/15/2006,17237.65,9/14/2006,11527.39
9/18/2006,17387.21,9/15/2006,11560.77
9/19/2006,17346.7,9/18/2006,11555
9/20/2006,17512.96,9/19/2006,11540.91
9/21/2006,17619.97,9/20/2006,11613.19
9/22/2006,17600.65,9/21/2006,11533.23
9/25/2006,17546.04,9/22/2006,11508.1
9/26/2006,17308.08,9/25/2006,11575.81
9/27/2006,17521.51,9/26/2006,11669.39
9/28/2006,17530.57,9/27/2006,11689.24
9/29/2006,17543.05,9/28/2006,11718.45
10/2/2006,17543.05,9/29/2006,11679.07
10/3/2006,17606.53,10/2/2006,11670.35
10/4/2006,17629.21,10/3/2006,11727.34
10/5/2006,17907.67,10/4/2006,11850.61
10/6/2006,17903.39,10/5/2006,11866.69
10/9/2006,17675.24,10/6/2006,11850.21
10/10/2006,17823.7,10/9/2006,11857.81
10/11/2006,17862.79,10/10/2006,11867.17
10/12/2006,17873.09,10/11/2006,11852.13
10/13/2006,17988.86,10/12/2006,11947.7
10/16/2006,18010.2,10/13/2006,11960.51
10/17/2006,18014.84,10/16/2006,11980.59
10/18/2006,18048.09,10/17/2006,11950.02
10/19/2006,17986.97,10/18/2006,11992.68
10/20/2006,18113.55,10/19/2006,12011.73
10/23/2006,18089.85,10/20/2006,12002.37
10/24/2006,18153.41,10/23/2006,12116.91
10/25/2006,18157.94,10/24/2006,12127.88
10/26/2006,18353.74,10/25/2006,12134.68
10/27/2006,18297.55,10/26/2006,12163.66
10/30/2006,18297.55,10/27/2006,12090.26
10/31/2006,18324.35,10/30/2006,12086.49
11/1/2006,18453.65,10/31/2006,12080.73
11/2/2006,18714.78,11/1/2006,12031.02
11/3/2006,18749.69,11/2/2006,12018.54
11/6/2006,18936.55,11/3/2006,11986.04
11/7/2006,18939.31,11/6/2006,12105.55
11/8/2006,18811.24,11/7/2006,12156.77
11/9/2006,18952.86,11/8/2006,12176.54
11/10/2006,18891.14,11/9/2006,12103.3
11/13/2006,18868.54,11/10/2006,12108.43
11/14/2006,18878.42,11/13/2006,12131.88
11/15/2006,19093,11/14/2006,12218.01
11/16/2006,19154.07,11/15/2006,12251.71
11/17/2006,19182.71,11/16/2006,12305.82
11/20/2006,18954.63,11/17/2006,12342.55
11/21/2006,19008.3,11/20/2006,12316.54
11/22/2006,19250.79,11/21/2006,12321.59
11/23/2006,19265.32,11/22/2006,12326.95
11/24/2006,19260.3,11/24/2006,12280.17
11/27/2006,19204.01,11/27/2006,12121.71
11/28/2006,18639.53,11/28/2006,12136.44
11/29/2006,18780.93,11/29/2006,12226.73
