Date,Open,High,Low,Close,Volume,Adj Close
10/24/2005,14470.67,14566.1,14189.47,14215.83,331628800,14215.83
10/31/2005,14313.42,14668.53,14255.93,14585.79,290622400,14585.79
11/7/2005,14498.84,14808.47,14317.51,14740.6,294803700,14740.6
11/14/2005,14760.4,14924.62,14518.75,14883.32,291616300,14883.32
11/21/2005,14939.7,15117.88,14806.96,15081.47,265455200,15081.47
11/28/2005,15099.63,15232.32,14866.1,15200.38,300893400,15200.38
12/5/2005,15208.86,15208.86,14860.54,14910.51,302964400,14910.51
12/12/2005,14991.62,15079.96,14863.84,15029.81,286727100,15029.81
12/19/2005,15044.9,15272.72,15044.9,15183.58,242488600,15183.58
12/28/2005,15076.94,15173.48,14811.64,14876.43,310376600,14876.43
1/3/2006,14843.97,15373.79,14843.97,15344.44,431906300,15344.44
1/9/2006,15497.97,15792.36,15497.72,15787.97,524757800,15787.97
1/16/2006,15787.27,15816.54,15376.45,15662.08,462381800,15662.08
1/23/2006,15454.8,15770.45,15412.26,15753.14,497114200,15753.14
2/1/2006,15798.44,15808.18,15420.66,15429.73,538937500,15429.73
2/6/2006,15415.88,15564.96,15327.07,15425.95,484362000,15425.95
2/13/2006,15303.04,15520.6,15240.95,15475.69,397504800,15475.69
2/20/2006,15525.74,15875.33,15525.74,15856.05,369889000,15856.05
2/27/2006,15943.64,15999.31,15768.21,15802,353032400,15802
3/6/2006,15812.72,15845.2,15348.22,15445.05,376069200,15445.05
3/13/2006,15542.79,15845.97,15461.81,15801.66,298360100,15801.66
3/20/2006,15868.49,15973.01,15619.14,15716.46,333582400,15716.46
3/27/2006,15743.67,15964.35,15694.11,15805.04,438329800,15805.04
4/3/2006,15904.97,16534.83,15877.44,16471.78,349360500,16471.78
4/10/2006,16383.58,16527.94,16260.88,16429.45,354204800,16429.45
4/18/2006,16534.9,16991.52,16533.07,16912.15,459327400,16912.15
4/24/2006,16917.61,16930.01,16429.5,16661.3,405625800,16661.3
5/2/2006,16764.59,17099.48,16744.16,17013.93,494264100,17013.93
5/8/2006,17204.25,17328.43,16845.85,16901.85,466015800,16901.85
5/15/2006,16623.35,16673.53,16155.77,16313.36,479759600,16313.36
5/22/2006,16295.37,16304.95,15626.95,15895.1,473456700,15895.1
5/29/2006,15976.27,16006.07,15605.96,15912.71,415631400,15912.71
6/5/2006,15964.31,16062.27,15405.79,15628.69,389563500,15628.69
6/12/2006,15560.71,15851.51,15204.86,15842.65,441016400,15842.65
6/19/2006,15759.96,15885.71,15520.42,15808.81,312901000,15808.81
6/26/2006,15756.68,16273.74,15613.2,16267.62,364789300,16267.62
7/3/2006,16288.59,16497.9,16129.65,16459.78,253459700,16459.78
7/10/2006,16376.82,16606.62,16062.6,16135.71,277138300,16135.71
7/17/2006,15980.5,16483.23,15948.76,16464.18,266748700,16464.18
7/24/2006,16376.38,17034.55,16354.44,16955.04,311560400,16955.04
7/31/2006,17103.44,17114.2,16867.95,16887.8,283294600,16887.8
8/7/2006,16927.74,17349.99,16811.42,17249.95,273619000,17249.95
8/14/2006,17280.07,17506.21,17215.01,17330.7,266871000,17330.7
8/21/2006,17326.38,17329.68,16870.7,16955.45,268091400,16955.45
8/28/2006,16955.88,17514.31,16911.52,17423.72,352336800,17423.72
9/4/2006,17504.33,17538.59,17044.93,17145.76,329962600,17145.76
9/11/2006,17141.61,17304.74,16921.53,17237.65,607185900,17237.65
9/18/2006,17253.7,17663.44,17220.78,17600.65,806249200,17600.65
9/25/2006,17546.04,17683.45,17277.75,17543.05,614514900,17543.05
10/2/2006,17543.05,17940.49,17428.1,17903.39,752506100,17903.39
10/9/2006,17876.04,18067.58,17589.12,17988.86,921735200,17988.86
10/16/2006,18067.2,18148.04,17823.33,18113.55,642437500,18113.55
10/23/2006,18170.22,18465.54,18066.11,18297.55,684611000,18297.55
10/30/2006,18297.55,18771.01,18152.91,18749.69,467133000,18749.69
11/6/2006,18702.25,19161.38,18694.13,18891.14,906310700,18891.14
11/13/2006,18763.44,19237.73,18717.61,19182.71,1272264400,19182.71
11/20/2006,19030.36,19404.01,18928.58,19260.3,788616300,19260.3
11/27/2006,19263.86,19328.12,18618.66,18690.82,964369900,18690.82
12/4/2006,18654.07,19131.22,18587.72,18739.99,1088775900,18739.99
12/11/2006,18811.85,19126.7,18623.61,19110.65,945411200,19110.65
12/18/2006,19094.63,19320.52,18905.44,19320.52,1098841900,19320.52
12/27/2006,19620.53,20049.03,19512.46,19964.72,1046957800,19964.72
1/2/2007,20004.84,20554.58,19757.24,20211.28,1757047500,20211.28
1/8/2007,19915,20173.06,19350.5,19613.41,1513906000,19613.41
1/15/2007,19776.13,20337.93,19746.07,20327.72,1155385200,20327.72
1/22/2007,20501.45,20971.46,20204.67,20281.13,1187909200,20281.13
1/29/2007,20317.39,20704.1,20008.6,20563.68,864335900,20563.68
2/5/2007,20514.83,20771.09,20318.99,20677.66,1010690800,20677.66
2/12/2007,20534.43,20696.65,20127.12,20567.91,801828400,20567.91
2/19/2007,20567.91,20844.25,20540.32,20711.65,604843500,20711.65
2/26/2007,20520.45,20581.42,19346.6,19442.01,1367982900,19442.01
3/5/2007,19137.36,19259.1,18659.23,19134.88,1610570000,19134.88
3/12/2007,19252.37,19470.37,18738.51,18953.5,1202053200,18953.5
3/19/2007,19006.15,19813.21,18967.41,19692.64,1203001000,19692.64
3/26/2007,19719.88,19880.26,19459.19,19800.93,1150504900,19800.93
4/2/2007,19900.01,20210.84,19672.94,20209.71,1070570500,20209.71
4/10/2007,20416.54,20502.17,20248.04,20340.97,1545071600,20340.97
4/16/2007,20493.26,20868.07,20232.81,20566.59,1908800000,20566.59
4/23/2007,20710.38,20778.44,20396.37,20526.5,1208974700,20526.5
4/30/2007,20525.96,20883.21,20130.11,20841.08,946349700,20841.08
5/7/2007,20933.99,21070.21,20420.12,20468.21,1206528400,20468.21
